SIZE,total,0x0,33292288,0,33292288
SIZE,heap,0x74ae30,25593264,0,33292288
ALLOC,File Sys,0x1fa2570,69184,RAM,100,69184
ALLOC,System::IRX loader,0x1eb7470,962816,RAM,100,1032000
FREE, ,0x1eb7470,962816,RAM,244,69184
ALLOC,SGSM::SmallObjAllocator,0x74aef0,656,RAM,248,69840
ALLOC,SGSM::smallobj,0x74b1f0,91600,RAM,248,161440
ALLOC,ASYNCFILE,0x7617f0,976,RAM,249,162416
ALLOC,System::data\cmn\ini.big,0x761bf0,39440,RAM,251,201856
ALLOC,System::data\cmn\ini.big,0x1f98b70,39424,RAM,256,241280
FREE, ,0x761bf0,39440,RAM,256,201840
FREE, ,0x1f98b70,39424,RAM,258,162416
ALLOC,System::data\cmn\ini_ps2.big,0x761bf0,3856,RAM,261,166272
ALLOC,System::data\cmn\ini_ps2.big,0x1fa1670,3840,RAM,263,170112
FREE, ,0x761bf0,3856,RAM,263,166256
FREE, ,0x1fa1670,3840,RAM,264,162416
ALLOC,System::config.dat,0x761bf0,18512,RAM,266,180928
ALLOC,System::config.dat,0x1f97570,45056,RAM,269,225984
FREE, ,0x761bf0,18512,RAM,269,207472
ALLOC,Audio::data\audio\mix_mot.ini,0x761bf0,2512,RAM,273,209984
ALLOC,Audio::data\audio\mix_mot.ini,0x1f96b70,2560,RAM,275,212544
FREE, ,0x761bf0,2512,RAM,275,210032
FREE, ,0x1f96b70,2560,RAM,276,207472
FREE, ,0x1f97570,45056,RAM,277,162416
ALLOC,System::common.ini,0x761bf0,12496,RAM,279,174912
ALLOC,System::common.ini,0x1f9f470,12544,RAM,282,187456
FREE, ,0x761bf0,12496,RAM,282,174960
ALLOC,Audio::data\audio\mix_mot.ini,0x761bf0,2512,RAM,285,177472
ALLOC,Audio::data\audio\mix_mot.ini,0x1f9ea70,2560,RAM,287,180032
FREE, ,0x761bf0,2512,RAM,287,177520
FREE, ,0x1f9ea70,2560,RAM,288,174960
FREE, ,0x1f9f470,12544,RAM,288,162416
ALLOC,System::ai.ini,0x761bf0,18704,RAM,291,181120
ALLOC,System::ai.ini,0x1f9dc70,18688,RAM,293,199808
FREE, ,0x761bf0,18704,RAM,293,181104
FREE, ,0x1f9dc70,18688,RAM,294,162416
ALLOC,System::sku.ini,0x761bf0,4176,RAM,296,166592
ALLOC,System::sku.ini,0x1fa1530,4160,RAM,298,170752
FREE, ,0x761bf0,4176,RAM,298,166576
FREE, ,0x1fa1530,4160,RAM,298,162416
ALLOC,System::product.ini,0x761bf0,9232,RAM,301,171648
ALLOC,System::product.ini,0x1fa0130,9280,RAM,303,180928
FREE, ,0x761bf0,9232,RAM,303,171696
FREE, ,0x1fa0130,9280,RAM,303,162416
